,best_match_score,__id_left,__id_right,Course,City,State,Country,Year,id,name,address,city,state,country,latitude,longitude
0,0.7668853270573025,0_left,211_right,Wynlakes,Montgomery,Alabama,US,1990,212,Wynlakes Golf & Country Club,  7900 Wynlakes Blvd,Montgomery,Alabama,US,32.3493947527553,-86.15013986887874
1,0.6933271984056721,1_left,209_right,Lagoon Park,Montgomery,Alabama,US,1996,210,Lagoon Park Golf Course,  2855 Lagoon Park Dr,Montgomery,Alabama,US,32.40680305,-86.22157910519721
2,0.14109032066991248,2_left,97_right,University of Alabama Golf Course,Tuscaloosa,Alabama,US,1997,98,Country Club of Alabama,  101 Merion Dr,Eufaula,Alabama,US,31.8198689,-85.1609302
109,0.5863268769745446,3_left,217_right,Hidden Meadows,Nortport,Alabama,US,1998,218,Hidden Meadows Golf Course,  13000 Old Cove Rd,Northport,Alabama,US,33.296915049999996,-87.63875056056328
111,-0.01217147457767346,4_left,29_right,Bent Brook,Bessemer,Alabama,US,1999,30,Woodward Golf Club,  2141 Wheel Dr,Bessemer,Alabama,US,33.42820184693878,-86.95586534693878
224,0.8653961234609099,5_left,137_right,Pikeville Country Club,Guin,Alabama,US,1999,138,Pikeville Country Club,  1310 Country Club Rd,Guin,Alabama,US,33.83892,-88.124018
225,0.707471444773111,6_left,136_right,RTJ - Cambrian Ridge - 27,Greenville,Alabama,US,1999,137,RTJ Golf Trail at Cambrian Ridge - Short,  101 SUNBELT PKY,Greenville,Alabama,US,31.8970332,-86.68494519205585
229,1.4439582501703367,7_left,251_right,RTJ - Capitol Hill - Judge,Prattville,Alabama,US,1999,252,RTJ Golf Trail at Capitol Hill - Judge,  2600 Constitution Ave,Prattville,Alabama,US,32.4431763,-86.3948477
230,0.9957827696598541,8_left,252_right,RTJ - Capitol Hill - Legistator,Prattville,Alabama,US,1999,253,RTJ Golf Trail at Capitol Hill - Legislator,  2600 Constitution Ave,Prattville,Alabama,US,32.4431763,-86.3948477
233,1.2364864076584097,9_left,253_right,RTJ - Capitol Hill - Senator,Prattville,Alabama,US,1999,254,RTJ Golf Trail at Capitol Hill - Senator,  2600 Constitution Ave,Prattville,Alabama,US,32.4475,-86.3991
234,1.0712810509823456,10_left,220_right,RTJ - Grand National - Lake,Opelika,Alabama,US,1999,221,RTJ Golf Trail at Grand National - Lake,  3000 Robert Trent Jones Trail,Opelika,Alabama,US,32.6803815,-85.4223927325281
236,1.0782865593638766,11_left,221_right,RTJ - Grand National - Links,Opelika,Alabama,US,1999,222,RTJ Golf Trail at Grand National - Links,  3000 Robert Trent Jones Trail,Opelika,Alabama,US,32.6803815,-85.4223927325281
238,0.27235755897538394,12_left,227_right,RTJ - Hampton Cove - course?,Huntsville,Alabama,US,1999,228,RTJ Golf Trail at Hampton Cove - River,  450 OLD HWY 431,Owens Crossroads,Alabama,US,34.568124,-86.45563
293,0.7993303989837766,13_left,89_right,RTJ - Highland Oaks - 27,Dothan,Alabama,US,1999,90,RTJ Golf Trail at Highland Oaks - Short,  904 Royal Pkwy,Dothan,Alabama,US,31.2170675,-85.49383656171882
297,1.342647017310579,14_left,197_right,RTJ - Magnolia Grove - Crossings,Mobile,Alabama,US,1999,198,RTJ Golf Trail at Magnolia Grove - Crossings,  7001 MAGNOLIA GROVE PKY,Mobile,Alabama,US,30.740501,-88.20578
298,1.277361112162062,15_left,198_right,RTJ - Magnolia Grove - Falls,Mobile,Alabama,US,1999,199,RTJ Golf Trail at Magnolia Grove - Falls,  7001 MAGNOLIA GROVE PKY,Mobile,Alabama,US,30.740501,-88.20578
299,1.0853679456260343,16_left,47_right,RTJ - Oxmoor Valley - Ridge,Birmingham,Alabama,US,1999,48,RTJ Golf Trail at Oxmoor Valley - Ridge,  100 SUNBELT PKWY,Birmingham,Alabama,US,33.4167068,-86.87242317650268
300,0.9299341546683502,17_left,49_right,RTJ - Oxmoor Valley - Valley,Birmingham,Alabama,US,1999,50,RTJ Golf Trail at Oxmoor Valley - Valley,  100 SUNBELT PKWY,Birmingham,Alabama,US,33.4167068,-86.87242317650268
303,0.1733278259770584,18_left,126_right,RTJ - Silver Lakes - 27,Gadsden,Alabama,US,1999,127,RTJ Golf Trail at Silver Lakes - Short,  1 Sunbelt Pkwy,Glencoe,Alabama,US,33.882437,-85.926896
307,0.30906266653606723,19_left,206_right,Cypress Tree - Maxwell AFB,Montgomery,Alabama,US,1999,207,Cypress Tree Golf Course - River,  1461 March St,Montgomery,Alabama,US,32.392401050000004,-86.36114848844387
309,1.0946749756338467,20_left,11782_right,Lido Golf Club,Lido Beach,New York,US,1999,11783,Lido Golf Club,  255 Lido Blvd,Lido Beach,New York,US,40.588685,-73.633772
310,-0.14726223870904576,21_left,14558_right,Three Ponds Farm,Watermill,New York,US,1999,14559,Knoebels Three Ponds Golf Club,  954 State Route 487,Elysburg,Pennsylvania,US,40.871916,-76.517982
