,best_match_score,__id_left,__id_right,Course,City,State,Country,Year,id,name,address,city,state,country,latitude,longitude
0,0.47944043931980024,0_left,5671_right,Otter Creek,Columbus,Indiana,US,,5672,Otter Creek Golf Course - North/West,  11522 E 50 N,Columbus,Indiana,US,39.208404,-85.918828
6,0.8276152600952339,1_left,2531_right,Sterling Farms,Stamford,Connecticut,US,,2532,Sterling Farms Golf Course,  1349 Newfield Ave,Stamford,Connecticut,US,41.10618675,-73.52710632996447
7,0.5718619644379982,2_left,2474_right,Oak Hills,Norwalk,Connecticut,US,,2475,Oak Hills Park Golf Course,  165 Fillow St,Norwalk,Connecticut,US,41.1140234,-73.44439209418469
8,0.4768779392460839,3_left,11429_right,Centennial,Carmel,New York,US,,11430,Centennial Golf Club - Lakes/Meadows,  185 John Simpson Rd,Carmel,New York,US,41.4244204,-73.65097018048655
14,0.7055904353425854,4_left,2452_right,Great River,Milford,Connecticut,US,,2453,Great River Golf Club,  130 CORAM LN,Milford,Connecticut,US,41.27485095,-73.08301081409091
15,0.7444982777010705,5_left,8010_right,Chequessett,Wellfleet,Massachusetts,US,,8011,Chequessett Yacht & Country Club,  680 Chequessett Neck Rd,Wellfleet,Massachusetts,US,41.9306751,-70.05468344684678
16,0.9680464327391969,6_left,7866_right,Highland Links,North Truro,Massachusetts,US,,7867,Highland Links,  10 Highland Light Rd,North Truro,Massachusetts,US,42.038039,-70.06318
17,0.7984966462924878,7_left,2385_right,Richter Park,Danbury,Connecticut,US,,2386,Richter Park Golf Course,  100 Aunt Hack Rd,Danbury,Connecticut,US,41.41259425,-73.52030190830902
18,0.037685352181502464,8_left,10626_right,Rio Secco,Las Vegas,Nevada,US,,10627,The Summit Club,  Summit Club Drive,Las Vegas,Nevada,US,36.10411,-115.33627
57,0.3838421942461189,9_left,2529_right,Brennan,Stamford,Connecticut,US,,2530,E. Gaynor Brennan Golf Course,  451 Stillwater Rd,Stamford,Connecticut,US,41.0603066,-73.55687974676745
58,0.1987443788449905,10_left,2470_right,Lake of Isles,New London,Connecticut,US,,2471,Lake of Isles - South Course,  1 CLUBHOUSE DR,North Stonington,Connecticut,US,41.4829856,-71.951742
62,0.7686348113848501,11_left,8083_right,Stonebridge,Ann Arbor,Michigan,US,,8084,Stonebridge Golf Club,  1825 CLUBHOUSE DR,Ann Arbor,Michigan,US,42.213993900000006,-83.76883879957293
63,0.5226649835222479,12_left,10900_right,Seaview,Galloway,New Jersey,US,,10901,Stockton Seaview Hotel & Golf Club - Bay,  401 S New York Rd,Galloway Township,New Jersey,US,39.449543,-74.471728
65,0.7641830412691258,13_left,2454_right,Whitney Farms,Monroe,Connecticut,US,,2455,Whitney Farms Golf Club,  175 Shelton Rd,Monroe,Connecticut,US,41.33878205,-73.19634177591595
66,0.717259703903841,14_left,2543_right,Tashua Knolls,Trumbull,Connecticut,US,,2544,Tashua Knolls Golf Club - Regulation,  40 Tashua Knolls Ln,Trumbull Twn,Connecticut,US,41.288853,-73.249528
68,0.74418712118627,15_left,2482_right,Grassy Hill,Orange,Connecticut,US,,2483,Grassy Hill Country Club,  441 Clark Ln,Orange,Connecticut,US,41.2659281,-73.04739673529753
69,0.23424735547989384,16_left,27609_right,New Course,St. Andrews,Scotland,UK,,27610,St Andrews Links - The New Course,  Pilmour House,St Andrews,Fife,UK,56.3576,-2.8178
70,1.0404800822025584,17_left,2417_right,Greenwich Country Club,Greenwich,Connecticut,US,,2418,Greenwich Country Club,  19 Doubling Rd,Greenwich,Connecticut,US,41.05440735,-73.61092039819584
74,0.32258793640850353,18_left,10617_right,Revere Golf Club,Las Vegas,Nevada,US,,10618,Royal Links Golf Club,  5995 E. Vegas Valley Dr.,Las Vegas,Nevada,US,36.132064,-115.047236
91,0.3017698228501387,19_left,11593_right,Kissena Park,New York,New York,US,,11594,Kissena Park Golf Course,  165-14 Booth Memorial Ave,Flushing,New York,US,40.744764,-73.798119
92,0.5646589329195086,20_left,220_right,Grand National - Lake Course,Opelika,Alabama,US,,221,RTJ Golf Trail at Grand National - Lake,  3000 Robert Trent Jones Trail,Opelika,Alabama,US,32.6803815,-85.4223927325281
