Course,City,State,Country
Pebble Beach Golf Links,Pebble Beach,California,US
Pacific Dunes,Bandon,Oregon,US
Whistling Straits Golf Club (Straits),Kohler,Wisconsin,US
The Ocean Course at Kiawah Island Resort,Kiawah Island,South Carolina,US
Shadow Creek,North Las Vegas,Nevada,US
Pinehurst Resort (No. 2),Pinehurst,North Carolina,US
Bandon Dunes,Bandon,Oregon,US
Bethpage State Park (Black),Farmingdale,New York,US
Erin Hills Golf Course,Erin,Wisconsin,US
Spyglass Hill Golf Course,Pebble Beach,California,US
TPC Sawgrass (Players Stadium),Ponde Vedra Beach,Florida,US
Old Macdonald,Bandon,Oregon,US
Bandon Trails,Bandon,Oregon,US
Arcadia Bluffs Golf Club (Bluffs),Arcadia,Michigan,US
Sheep Ranch,Bandon,Oregon,US
Blackwolf Run (River),Kohler,Wisconsin,US
Pasatiempo Golf Club,Santa Cruz,California,US
Sand Valley (Sand Valley),Nekoosa,Wisconsin,US
French Lick Resort (Pete Dye),French Lick,Indiana,US
Streamsong Resort (Red),Streamsong,Florida,US
Manele Golf Course,"Lanai City, Lanai",Hawaii,US
Chambers Bay,University Place,Washington,US
Kapalua Resort (Plantation),"Kapalua, Maui",Hawaii,US
Karsten Creek Golf Club,Stillwater,Oklahoma,US
Harbour Town Golf Links,Hilton Head Island,South Carolina,US
Streamsong Resort (Blue),Streamsong,Florida,US
Mauna Kea Golf Course,Kamuela,Hawaii,US
The Highland Course at Primland Resort,Meadows of Dan,Virginia,US
Mammoth Dunes,Nekoosa,Wisconsin,US
Ozarks National at Big Cedar Lodge,Hollister,Missouri,US
Omni Homestead (Cascades),Hot Springs,Virginia,US
Pinehurst Resort (No. 4),Pinehurst,North Carolina,US
Forest Dunes Golf Club (Loop: Red/Black),Roscommon,Michigan,US
Streamsong Resort (Black),Streamsong,Florida,US
The Quarry at Giants Ridge,Biwabik,Minnesota,US
Sea Island Golf Club (Seaside),St. Simons Island,Georgia,US
The Greenbrier (Old White TPC),White Sulphur Springs,West Virginia,US
Gamble Sands,Brewster,Washington,US
Black Diamond Ranch (Quarry),Lecanto,Florida,US
Prongorn Resort (Nicklaus),Bend,Oregon,US
Fallen Oak at Beau Rivage Resort,Biloxi,Mississippi,US
Torrey Pines Golf Course (South),La Jolla,California,US
Gold Horseshoe Golf Club (Gold),Williamsburg,Virginia,US
The Broadmoor (East),Colorado Springs,Colorado,US
The Prairie Club (Dunes),Valentine,Nebraska,US
Yale Golf Course,New Haven,Connecticut,US
Whistling Straits Golf Club (Irish),Kohler,Wisconsin,US
May River Golf Club at Palmetto Bluff,Bluffton,South Carolina,US
Tobacco Road Golf Club,Sanford,North Carolina,US
SentryWorld,Stevens Points,Wisconsin,US
CordeValle,San Martin,California,US
Arcadia Bluffs Golf Club (South),Bear Lake,Michigan,US
The Links at Spanish Bay,Pebble Beach,California,US
Stadium Course at PGA West,La Quinta,California,US
Cog Hill (No. 4),Lemont,Illinois,US
Wilderness Club,Eureka,Montana,US
Paa-Ko Ridge Golf Club,Sandia Park,New Mexico,US
The Loop (Black),Roscommon,Michigan,US
Mossy Oak Golf Club,West Point,Mississippi,US
Crosswater at Sunriver Resort,Sunriver,Oregon,US
The Classic at Maddens Resort,Brainerd,Minnesota,US
Bay Harbor Golf Club (Links/Quarry),Bay Harbor,Michigan,US
Dunes Golf and Beach Club,Myrtle Beach,South Carolina,US
Wolf Creek Golf Club,Mesquite,Nevada,US
Red Sky Ranch and Golf Club (Norman),Wolcott,Colorado,US
Marquette Golf Club (Greywalls),Marquette,Michigan,US
The Golf Courses of Lawsonia (Links),Green Lake,Wisconsin,US
The Wilderness at Fortune Bay,Tower,Minnesota,US
Cascata,Boulder City,Nevada,US
Wild Horse Golf Club,Gothenburg,Nebraska,US
Nemacolin Woodlands Resort (Mystic Rock),Farmington,Pennsylvania,US
Pine Needles Lodge and Golf Club,Southern Pines,North Carolina,US
Blackwolf Run (Meadown Valleys),Kohler,Wisconsin,US
Old Waverly Golf Club,West Point,Mississippi,US
Pinehurst Resort (No. 8),Pinehurst,North Carolina,US
Great Waters Course at Reynolds Plantation,Eatonton,Georgia,US
The Loop (Red),Roscommon,Michigan,US
Red Sky Ranch and Golf Club (Fazio),Wolcott,Colorado,US
Firestone Country Club (South),Akron,Ohio,US
Princeville Makai Golf Club,Kauai,Hawaii,US
Tetherow Golf Club,Bend,Oregon,US
The Pfau Course at Indiana University,Bloomington,Indiana,US
The Virtues Golf Club,Nashport,Ohio,US
Caledonia Golf and Fish Club,Pawleys Island,South Carolina,US
Edgewood Tahoe Golf Course,Stateline,Nevada,US
Trump National Doral (Blue Monster),Miami,Florida,US
Quintero Golf Club,Peoria,Arizona,US
TPC Colorado,Berthoud,Colorado,US
World Woods (Pine Barrens),Brooksville,Florida,US
The Bull at Pinehurst Farms,Sheboygan Falls,Wisconsin,US
Poppy Hills Golf Course,Pebble Beach,California,US
Mid Pines Inn and Golf Club,Southern Pines,North Carolina,US
Bulle Rock,Havre de Grace,Maryland,US
Grizzly Ranch,Portola,California,US
Kingsmill Resort (River),Williamsburg,Virginia,US
The Prairie Club (Pines),Valentine,Nebraska,US
Rams Hill Golf Course,Borrego Springs,California,US
The McLemore Club,Rising Fawn,Georgia,US
Spring Creek Golf Club,Gordonsville,Virginia,US
Tullymore Golf Resort,Stanwood,Michigan,US
Troy Burne Golf Club,Hudson,Wisconsin,US
Atunyote at Turning Stone Resort,Verona,New York,US
Pelican Hill Golf Club (Ocean South),Newport Coast,California,US
Omni Barton Creek Resort (Fazio Canyons),Austin,Texas,US
Hualalai Golf Course,Kailua-Kona,Hawaii,US
Pumpkin Ridge Golf Club (Ghost Creek),North Plains,Oregon,US
Belvedere Golf Club,Charlevoix,Michigan,US
TPC San Antonio (AT&T),San Antonio,Texas,US
Boyne Highlands (Heather),Harbor Springs,Michigan,US
Torrey Pines Golf Course (North),La Jolla,California,US
Grand Traverse Resort and Spa (The Bear),Acme,Michigan,US
