,best_match_score,__id_left,__id_right,Course,City,State,Country,id,g_course,g_address,g_city,g_state,g_country,g_latitude,g_longitude
0,1.2623409590965795,0_left,1625_right,Pebble Beach Golf Links,Pebble Beach,California,US,1626,Pebble Beach Golf Links - Golf Links,  1700 17 Mile Dr,Pebble Beach,California,US,36.56966455,-121.94974129475571
2,0.6124357276569484,1_left,14143_right,Pacific Dunes,Bandon,Oregon,US,14144,Bandon Dunes Golf Resort - Pacific Dunes,  57744 Round Lake Drive,Bandon,Oregon,US,43.1969,-124.3917
3,0.43726160080923043,2_left,18609_right,Whistling Straits Golf Club (Straits),Kohler,Wisconsin,US,18610,Whistling Straits - The Straits,  N 8501 Lakeshore Road,Sheboygan,Wisconsin,US,43.838932,-87.740826
152,1.8203567971886865,3_left,15394_right,The Ocean Course at Kiawah Island Resort,Kiawah Island,South Carolina,US,15395,The Ocean Course at Kiawah Island Resort,  1 Sanctuary Beach Dr,Kiawah Island,South Carolina,US,32.601291,-80.092228
153,1.2083365834104336,4_left,10645_right,Shadow Creek,North Las Vegas,Nevada,US,10646,Shadow Creek Golf Course,  3 Shadow Creek Drive,North Las Vegas,Nevada,US,36.25801161388945,-115.10649077597161
154,0.8763804674389584,5_left,12684_right,Pinehurst Resort (No. 2),Pinehurst,North Carolina,US,12685,Pinehurst Resort - #2,  80 Carolina Vista Drive,Pinehurst,North Carolina,US,35.1926,-79.4639
155,0.7362064354099193,6_left,14139_right,Bandon Dunes,Bandon,Oregon,US,14140,Bandon Dunes Golf Resort - Bandon Dunes,  57744 Round Lake Dr,Bandon,Oregon,US,43.1878,-124.3912
161,1.339521709013812,7_left,11578_right,Bethpage State Park (Black),Farmingdale,New York,US,11579,Bethpage State Park Golf Course - The Black,  99 Quaker Meetinghouse Rd,Farmingdale,New York,US,40.742354,-73.45519
162,0.9600735946388297,8_left,18259_right,Erin Hills Golf Course,Erin,Wisconsin,US,18260,Erin Hills Golf Course,  7169 County Hwy O,Erin,Wisconsin,US,43.96804,-88.94345
163,1.1743072673336052,9_left,1628_right,Spyglass Hill Golf Course,Pebble Beach,California,US,1629,Spyglass Hill Golf Course,  Stevenson Dr,Pebble Beach,California,US,36.599413,-121.954831
164,1.206869786503852,10_left,3686_right,TPC Sawgrass (Players Stadium),Ponde Vedra Beach,Florida,US,3687,TPC at Sawgrass - Stadium,  110 Championship Way,Ponte Vedra Beach,Florida,US,30.19560685,-81.393715457703
166,0.5281563369169799,11_left,14142_right,Old Macdonald,Bandon,Oregon,US,14143,Bandon Dunes Golf Resort - Old Macdonald,  57744 Round Lake Drive,Bandon,Oregon,US,43.2063,-124.3897
167,0.6710210175882558,12_left,14141_right,Bandon Trails,Bandon,Oregon,US,14142,Bandon Dunes Golf Resort - Bandon Trails,  57744 Round Lake Drive,Bandon,Oregon,US,43.1811,-124.384
168,0.9336358861706854,13_left,8087_right,Arcadia Bluffs Golf Club (Bluffs),Arcadia,Michigan,US,8088,Arcadia Bluffs Golf Course,  14710 Northwood Hwy,Arcadia,Michigan,US,44.456365399999996,-86.24336500773762
317,0.5974119371761039,14_left,14144_right,Sheep Ranch,Bandon,Oregon,US,14145,Bandon Dunes Golf Resort - Sheep Ranch,  57744 Round Lake Rd,Bandon,Oregon,US,43.106694,-124.378355
318,0.9920879459229327,15_left,18359_right,Blackwolf Run (River),Kohler,Wisconsin,US,18360,Blackwolf Run Golf Course - River,  1111 W Riverside Dr,Kohler,Wisconsin,US,43.7281062,-87.77243646325422
319,0.9777583516194005,16_left,1848_right,Pasatiempo Golf Club,Santa Cruz,California,US,1849,Pasatiempo Golf Club,  20 Clubhouse Rd,Santa Cruz,California,US,37.00335036801189,-122.02631048206759
320,0.8081033547056795,17_left,18489_right,Sand Valley (Sand Valley),Nekoosa,Wisconsin,US,18490,Sand Valley,  1697 Leopold Way,Nekoosa,Wisconsin,US,44.171016,-89.852533
321,1.8769459316825778,18_left,5766_right,French Lick Resort (Pete Dye),French Lick,Indiana,US,5767,French Lick Resort - Pete Dye Course,  8760 West State Road 56,French Lick,Indiana,US,38.55379,-86.625504
